Headline1_text,Headline1_source,Headline1_url,Headline2_text,Headline2_source,Headline2_url
पहलगाम हमले पर बोले सीएम उमर अब्दुल्ला- अब किस मुंह से मांगूंगा पूर्ण राज्य का दर्जा - News18 Hindi,News18 Hindi,https://news.google.com/rss/articles/CBMi_gFBVV95cUxNMWo4VWkweEpFT3VfOWhLSzlDempLX2lxN19NRC1yczdPSHZfdHJMYW5hdkJIX1JmRGE5MTZ5REtvREstQTNTUjd5MkVuODRYRzZBQVNrT1pzdzZpdnZ1VW5OQW4yc2o4T1Z3UERqQ2hmQWJtZGd4Y3dHVmx4NGJnbHVjZ2twZV9OUnZTX0FXZlBJWnJLQ29NeG9ZV1R0U1ROQlNrNVhIOFk4dnNkb004bnR4cU5obDN2R3hyUy1CRG5pMGVOZDRFSGRLMHBjd0JqLWNUWlcyRDFQVExVNzNJZWU5dDBIcnNoYk8wVGZtcS12TmRtb1ZUaGhpcmVxUdIBgwJBVV95cUxPeFdsMlhicFdnanpIVFBiOVBVUklXSUZ0cjMwU3ZkMkYzclZCeUFIWHA2NkVCX1pKUk9YN3ZuT1RrQTFMNFM2X3dhOWc0aThpSUtILW1PUHM4Q0c5LXp6QUxhLWRlTmRSRDl3bEJmVUtqVjBKVlctdjFvZzlLU1VPQXRsS3o2Y0l2eTZGOFRkRWVrTVM3RG9jRG8xWFZ1V2xDQjZtOWNKdmdkRzEtT095bmVGRnFQSy00WUJwY0trN3JobXdlZ1R6eE5HaWJIUnJhMVNEMGdic3JydlNPVFZQSThPX3BOSUVMME5wb19DTzhVeUcwVkVRUi14SjZDWjlpSWxr?oc=5,"Lucknow News: अब नेहा राठौर ने क्या कर दिया, जो यूपी पुलिस ने दर्ज कर दी FIR, पाकिस्तान में क्यों हो रही वा... - News18 Hindi",News18 Hindi,https://news.google.com/rss/articles/CBMingJBVV95cUxQWmpDNXR0ZUx6NzNVa3l5VTlZSzl3UFpCZGlfZlRCdHZJN1RZOEYtWnJncmFSQ0xRVFdISktGNldNbTM0dmlFTW9yaVVFYm9yT05fZDVGZzNGS1dKLVlHbVYtdTE3OFBDMkFnZEU3MEtQRDAteUN4TFVHVHdhaDFkeVJxZEhBMVpsSFM0bGtWcVdjbndGNWtSUFlXaUFwTEZ0VExod1pDSWF3MktJbURoYkVORWFLWFY2cFVZdkpJQVQwLS1kX0RBbXZTbjJUcmNaUnVwNU13ZTVVdGM5b21FTXdVaWZ3TDB3U3poQ1hVaGlESE9CbDQwdlprV0ZUQi11aXozVmZBYmoxMXpoREZMMHNfQWVJY3ZzdUdwVHl30gGjAkFVX3lxTFBYTEVMakZOSm1lc0Z6RUVyT1ZqTjMwb284ODdMMDBRZVVsTjBlWUYwclQyVTZKdXBLazVrU1c1NnMwa0lLZkNGbmIzWUMxWDY5dkFPUjBuYVJPUExnV2g4cU44cFdadnVUcmJJVTBlNEVsRnhRRUlzTzl4ZThfZVROWVQxaTdJOEozcEVmVE9IcFNSSkhMa1FrLUg3UWluNUEzV2poVEhrV1oxM0RqVjZadG9MWk1aejVDUmJRMUdhNlhqR1U0eDJiZGZpdjN0QnBWZEZGaGo3QlktWEhwWVVHVFZPS3dwR0ZFM0ZkQ2V4V1lJU1NleW80aEFxSFZKUEhKOVRKYjQzMUhsdkFyUHpfUmhybmp0SmYtZThGeHNqSjhCUQ?oc=5
"एक क्लिक में पढ़ें 28 अप्रैल, सोमवार की अहम खबरें - aajtak.in",aajtak.in,https://news.google.com/rss/articles/CBMirgFBVV95cUxOel82UEF4blZfWTV5OTlxQXpzcUNheFRPZDFMLVRmV2p0VWwwdjI1WnNzX2ZwWDFkT2c2NnNBM2J6aTU1ZHlTMU9yaUpndjdCVjViTUlSZlNyMW5oemFqSVl1Y3lHVWlvWC00TXhxYUZqZXlYbE14SHhDdDNxaHFYd2VaQWx3b2FJUXZwaE9qM1pIMWsyb3d4UlM4XzhSUDRreVNudkQ5RHpIckFvMWc?oc=5,"Gold Rate Today: लगातार पांचवें दिन सोने में आई बड़ी गिरावट, जानिये आज सोमवार 28 अप्रैल को कितना सस्ता हुआ गोल्ड - Moneycontrol Hindi",Moneycontrol Hindi,https://news.google.com/rss/articles/CBMi3wFBVV95cUxQMXUtejBkNGJibDFVazJ3SXpIUTFQM3I3aWFkVzVjRkZTWUxKdy1sQndJSkhGbEE5eHpyYW9fM0pib3JyU2tMSll6ZS1aRU9XSm9OMmNYTllCWkx0TVVlVlpweHdmaTFQVDByU1B6b0NtbHg0T09feFh2WkJzenpKZlEzamtFUTJqQWNwTzVJd014SXF1OGJFQlZOWXlRaldsZnpaOTdTU09sUWhTNHdzWDY0Tks1UENJS3RodHcwenhBMm4xTFhUdXJDUkh6V0V6enpuQmNqT3pPTldTa05R0gHkAUFVX3lxTFAxS2Mya1BDeExsd09WNnZpemlVRllRWWpJZ1hTT0dIMFlHNDJ0b05nLXRtNkhOVTViZElLeE1LWEc3ei1XMlBpT19aaDVYZlpwak1rckdfMVM1bzlfRDdpOEZmaUZObFU2T05vM1Jzd3U0TUxMczRPMThWMldTRHl5bnN1eTB0cmV3ejM1cVJXTmtySDk0VnUzWndabWZEeVpHNDRIdXdXczQxaU5SbFVlZWJFVzNvZUVzWE9rNkxsbExnRWhuY3c2N0h6cjNHQ2Y2cWthNmlYcTZ4R0wwX3l6UlFuTw?oc=5
"Owaisi Slams Afridi: पहलगाम हमले को लेकर अफरीदी के बेतुके बयान पर बिफरे ओवैसी, बोले- क्या जोकरों का नाम ले रहे - Amar Ujala",Amar Ujala,https://news.google.com/rss/articles/CBMi1gFBVV95cUxQNGNNbDNmUURrZXE4Sjl1Z3FWR0VGUllFby0tZUhZd2pINFhjbEROU0s5N0txZ2JLZTJSaVVxQ2ZZTHptSG1EZUc5X2VPcjJaTW52Mm9Zd2Z1Y0RIakpYU3ZWUXZMd1lMRlJRRHRkTm0zdks2ZW5qVjMzdTFpVXduUUhjWXdyTGItRE9ZSFd3MFBCbFpDWE5DVW1LVmFDeF9rMFdUREV5Njl4UGxqT01DS2tuSlpNTnAyNUwtZlRMUGZqLWZ4WURTTzBlNHRCaDJRallEcGhn0gHbAUFVX3lxTE5YYTA4ZFY1dFhlU01NcHBtb1MzMFVTWmRaVmh3NzZjS21IT01KZlBmT2xBYUJPOTh0aDdXSFFuTDVhTG9ITFdXRFVsV2FyVS1aSUg0SFJXS0lnYzdXRHlaS1FlNDZBTzRQalhaMC1MLVlHU1JSb2tEYzl4X2lmbEFiWndIRnlReVg1aTJaaVhSM2RPZGEwMkl5amNIVXFpYVM3U3dXaEtFYmNta1FIeGlWaXNMV1hkNzNnbWNWNFRXVWNJWHdxOUZlRzN2cjhmanVURXlKSld6dFpQbw?oc=5,"पहलगाम हमले पर शाहिद अफरीदी के बयान पर भड़क गए असदुद्दीन ओवैसी, पाकिस्तान के - ABP News",ABP News,https://news.google.com/rss/articles/CBMiwwFBVV95cUxQT3cxaktJa25zNENFYW9xMGFYa3lUZ1Q4VG1yVGNGQjBBNms1cFZTdjFpRE5iUTMzTkZYZ2ZKOXVjMzFSSXFWUTRKRkh6MGhmS0M5djdUUldVbHpqNTB1UGJqODY5MXVoWHN0WWdQS1ZwZnZBRkpPbmVtcnNYZDFJMENRMFNWMDROZTNpQTExQllYNERobU9rY0pGeXFwTFdWanZXblJOUU5reUdRZzU5UnFsRllwbEZ0dTYtdEx4T0tlcXfSAcgBQVVfeXFMT25Jal94N01nYy0yMWJfNVZEZTJkTHBnSWpJSS1qZ0NFdlAybjZYQmpzcnU1SWZ6ZDJFa3RDSWZubGtXS0tIUWJ5bUNfbS1fdDJXMzRlRTlfbWRubWo1U01kclVFblpVTF9zLWpLUUZNX244aHZ2Q0FmZjZfZmRLQW5DNjBIblIwM0FOWlpQa2Mzc1lNSVl0NEc3WEZpRnBFdkFHRmxVOW5vXzQ4bTZGdzFadlFWZG1ic1FVeTB4dk1YaFBvb2t0SVk?oc=5
"Kashmir Pahalgam Terrorist Attack LIVE: पहलगाम हमले में पाकिस्तान का दोष नहीं, राकेश टिकैत का विवादास्पद बय... - News18 Hindi",News18 Hindi,https://news.google.com/rss/articles/CBMi9gFBVV95cUxPdTY1MDI0TFh6WmxXZjVCZUg1SzhyMVhiRTRCb1hNcTRteWdVcWh6SHBkTEM2c2FZZTVlTEpxOHFwTndlWUNlVDhLMmFDOUpqOGp4NTAtREhzSVJLRi1sU084LWl2d1h1NkRuVXhrUjBKMjlMOUNvaGxtVVphLTFjWFlzd05wT0FiaFI1dXBCc2ItSnNSQlgwT19ZOUQ4ZTVCaDFSOWlRdjJCNDhNRWNNOFlLS2E5TEl6cVdnVEc4NEsxUl94WFNXc0pHUURYRWtidHdWQTdrcTRpSnZjbWFpRW1DSGJ5bUJ1dFlaSXNfN213NGlsdHfSAfsBQVVfeXFMTzlOYXltNVdUcUc4V3FLbEMzTVlyRU9ubXV4YXdsWUw2Zm8wTFg5dVR2WUVVSWdzb09hZzI1Wnk5NG9UZm5TTENkNUNnMnIwaWI2dkx0UzlHWDdVVjZHZ2FKSjBtTjh0LXlBRGVMTDJmLVFEUTFoeHU4WHh6UWtGTmN2TS1zNlEwTUVNMmNCRkc4WW5rd3RZT25wSloteUVjWm1MQ3NTX0hsS3F0T2RlNlU5ekdSWEk5M3pZWVpycnNpYmZWd25JV2hHM2VaajN3MHhGRjk2U0FOaG5rc3dLV2Z6WElSMFlHb1l6WW1JZ09LdXc1Y045ZUhvUkE?oc=5,"'मुस्लिमों का कोई लेना-देना नहीं...' पहलगाम हमले पर बोलीं 56 साल की ये बॉलीवुड हीरोइन, कहा, 'मोदी को मेरा..... - News18 Hindi",News18 Hindi,https://news.google.com/rss/articles/CBMixwJBVV95cUxQZV9VTHdySnIxTzd6WWFxRFV5N2Uzb19ja3NkMkE1RmFHQno4RVpBSm1jM0hPVUxKN0VENG9ablpzUFlvRzh6clpUN0xvQ1ZtZGdwdXVNOFJpa1pReHFfTjdoN3ZYQWY0aWxyY2hKdXBRdC04TlBQMEFpdVdXODNWbF9TVW5vc1NMVHVELTBLdzlidjQxSEZuNllMZkNBeW8zczNad0FtVHlXQTRUV1gySnVObzZtVWVoSEYtWkF2c1ZUTThnclpnc3R6alVOY3JzempDRmZsSC13ZllwRzdNMzVMZ3FMeWxXUVZMSUFvTndXZjB2STBBNktRemlYZFE5bkVhWjVMNVFPalZpN3k5MjhZUS1yRnE3RFNKaFgta0Jha29lU0ZWUi10SU9tMHB1M3pwbW5NamhCZHRTWVRoOERSb3Boa2vSAcwCQVVfeXFMTUwzTmdiQmR3cTdZeWFEaGdmZ21mUmU1QUdpcEdjYnBkME4ydUpvNmFiRzFfZVRkOEFFRFBKSVMzQk9VdVYtVHprbnRMVnpLcFhubmp6UC1YWFAzb2dhdDA5cGt2RlQxVnFJUzFMZmM4TWMtdUVyTlgyc2Nad3ktOHJNN3dSNEYta3dZQXlYS25vNENHel9DbjVqYUpabVlfM1ZQVzNQZjVTLU4xZDBYWEZIRDlTVGxHTkh5WnRsSUJuUDQzX09teFFBR1J4SXFXMHBYME90YW9aWkhuLVQxWG5WMDZaOUZZUklreEh3a1hUREFZT1NpMFh0YzdtelpISERwYnl3aEVUaHVSUjBWLWNyQ3B6YWo2OWM3ZVl2QXB1bV91Sk5yMF9GZ3NlUmNyai1hUF9TczctQ3p4MXRNMXRpSi1DbjlVa1B2WDU?oc=5
"Pahalgam Terror Attack : पहलगाम आतंकी हमले की घूम गई जांच, NIA को मिला अहम सुराग, रील बना रहा शख्स गिरफ्तार... - News18 Hindi",News18 Hindi,https://news.google.com/rss/articles/CBMi-AFBVV95cUxQRll6RjZFSkZXOFMySEJNMDhtanNZMV9ua2hQQWVJRTZfUm1TRVlZeXg5YUtUV0w2NjhMMWV1U1NWRXhYQjJ5YUJQLXlVMFdsQTM3d2NIVUVBc0xsZHUxMFlGYkt3SkozSHdVNmx2X1l3Tk41NDJLOHdjWnBVUFJ2YkswR3MyamllRGxtVTFhWnZVN1l0ZkpWbjJ2Ykw1UC1yemdKeU4wM0pyeDZCQS1mVm9QYWhUR3VfT1RRVlA1NGlnSXhVOUF3ZFZLT3NnZGZqSFpfc2t1eFhCSW03ZThZOEo0UzBsd0lSR2pQcUtsLVMzS3lVQ0JRQtIB_gFBVV95cUxOMEhEZmFCaDctamEyS0tNS2UyOUd2bUsyR2Ntay10SHROS2lHLUpZSTJ3c3RyXzFuY1VKcHdwRkdidWVKQnFSZVlWT1dpQ1J3d3VJNHNOcWhpUlY5MjZuekpKLVF0TjdYSFh3d3pkWldST3RsS1dkNDUzVDFWbXI3MGFCR3ZiQlpkRkF0SHNPbFc2LXJpRUZfaTFkSDNRZmtqazFiRmdJWWlSMVNKUWZ3NDNMYnE4azl4YlpHVnhtQUxBWXRpeHN2VmdlRXVZNlpVaFZsSzN6d1hRQ2pKWDM2VF9ZeU1WbXZ3UG9fbTdGYTFDTk9aVVE5UW81S1ZWQQ?oc=5,आतंकवाद के खिलाफ एकता जरूरी Pahalgam Terror Attack - Prabhat Khabar,Prabhat Khabar,https://news.google.com/rss/articles/CBMingFBVV95cUxNNFVqRy1VV0hnV2tLOU5LXzZ2Z1dQSWxxVWh3S3JfT2lWcy1fRzY4THZtRENtY1dPUHh6VWtiakN3b3FoWnlUM0Zob3FmX1ZHU2NHdkpWckVJWnRab2dRVlJQZktPREFZU2daZzVWd0N2Nm5ZWTlxQ3RDRV9mZXA1aFhONXM0YTZFUDZxYXpER2gwTnRSSk10dzZpOTRhQdIBowFBVV95cUxNWXViRE51RkdsM3J6cjQyNjRXSGluRTBGUEpkNzlORmxFdTlDaGJTRzgzOXFTYnloT2JjTHpkWF9aajgwOXotV3R3bzYxNEUwWjJYcnNMRWhJTmlsdHlDVzd6eXlVLW1zRTg4S3JDNDAwVWpnX19zdFU5bUxNTkRoMVFhVzJjYlNjMmtPbElNSDk2MU4tU2ZrT1ZCTzgtSV9iYmIw?oc=5
"यूपी से चुन-चुन कर किया पाकिस्तानी नागरिकों को बाहर, सीएम योगी खुद कर रहे मॉनीटरिंग - Hindustan",Hindustan,https://news.google.com/rss/articles/CBMi4AFBVV95cUxOS1RGSFJVRk5DSWpUVWNLVHFLd1hmbDlhdk9BYmxUVFFvNHlfMTBCRURJYzA0NjB1aExORDlrZThtendBU1dHQlNqYmQ1VzU4R0lsbi1Lem5VcUYtU1ZhbFQwM0ZtZDljVFZ5S1d2SHlIel9BWklVWUc1X3REdC1YOGZ1eEVvQVkwdkNXdkhoZHM0Y1JLT1NQOWFJRUpIWG93OURpVGJPYkI0b0hybXZ0VG11djVwN3lYWVVzTXJnbnRuWlN5ZV9VWU93UVhOMDRBN1diQmdnejg1TFVMdENVUdIB5gFBVV95cUxOc091RjhlZ1ExN05lTWlHNktTdWVaNVlfUmdJaUIzaGdhN3hjcVU5UHJsRWZiMjlIZGlxeUJaLUJNT3JQWkJ4UkJuMXVKbGVkY0JiMUkxMkY3WDRtbXZ1d0M5cWI4NEx3RVVsZWJRa0xWQTUtc3FjWlJTaFo4QmgwZzZBY2JfX1hOd1liY2NaSlFXdGpiOWxOMFBwbGZHdnRXejJiOHpkUFJHLUxxcTZybWJLWGRaWEJzTVRBSGlJallza2ozRS1qOGhQbjd2bGJRYl8wempCclJ1bTlUUlJOaXlCOFd4dw?oc=5,"श्रीलीला के घर में आई बेबी गर्ल, फोटोज शेयर कर लिखा- हमारे दिल में इनकी हुई एंट्री - Hindustan",Hindustan,https://news.google.com/rss/articles/CBMi3gFBVV95cUxQYjY1VXVKaFJQeWlkaHVMNWdNVVh4dG9NVUM3eXdhbDFpZktoN2ZMakhsNS04ZFBraXJnRmdkU193dnhNMDRQcGJZZ2xsam1OWWV3OXdySFhmcV9Ual9lUU1SX21LY0tPZXFvTENfeHlKaVdaMmp1dURwUUg0Z0w2LTBrYXN2NTdwSmlLaF94RjlrelFCWjVUNDJzeEtlRHNmSEpTTnJzSXhCd09ZZUhaZGFZclZGWFlNVXM0VUZzeEd3dHozQTZkaWUxcEdEeWl2Zm05LTVVS2thOEcyZUHSAeMBQVVfeXFMUDRha1ZNLWRFYVNtTFNKMWFZU0pPQmhGZllDYW44NW5hTkdRTXFiRExGclZDTDNEaUZkcnQyQ1huQXRtRm54eHE4RThiaE9NYUFxWVlINUJwbGFVVVJUU1owU19SOU9WT3NpWUJiNktGbWJSSFhVODNnMF9OdnVsNUd2dFZNY2FKbFRXeXotajluOHczakdnQlVobWNSZmIxQ19OaTBjSnctRW1tZFJqcFdqUjc0Z0xZN0hFeEZ4SGo4SDBHWW42YWROR1FuMVlNcjNMZ3JITFU4WjJuMFBPUmtuR3M?oc=5
"Defence समेत इन 3 Stocks में दिखा ब्रेकआउट, शॉर्ट-टर्म में बन सकता है पैसा - Zee Business",Zee Business,https://news.google.com/rss/articles/CBMikAJBVV95cUxPaVU3WTRQNDdIRVdURDZaQVJQVjBQWmFzTS1uRm1KM1NKNFl3Y0ZuNlNtUnVDTVA4dEJEM0hWTzk1bVlSWmpvQjZKdDFSSU9lcUMxM1BiLWRGSEhjTUlLdFJLMDhIY1RLbnc4N0ZYdU5jem02VlhvMlpxLXRzQlk1Y3BoOHdmMlo4Z1drcHpxT1JwRVhsdGtnc1FJbWFRYkN5N0U3V1BncXBUTGZxczRQaTJJamtTbUVLM0ZVY204bXFxcGk3NGltWFZRQkJlcDZza0ZLYXk2M19EaEM5WjdPODRhckk4djhkMU0wN2xTUFpOUjFOSERqWkRMNkM4cVdPXzJoYjc5M2xUVUw1bHEtbdIBlgJBVV95cUxQeVJDNUptRER5NXlSbFBXZkJyQlVjQk55Rnh1OHBaLWdCTUhBVnpCSkNPN05oVlRWV29ZSEJFWjVPczhEclVEcjgyZlJ1Vy1kcnhFNDhrUGM1N2tkMEVxdUVIUjZ3Q19fTlE0Sm5NbWlNbVdzdHRiWV9JcUtBNmNQd0ZQcTZQd3UwVE1QSFJzTndNOXFabUVIVmVEWWZzRl84WWJXNTB1d0s1ZmxyYjVpUXlHN3cwM3ZCWVlvWWNUb0tNeElac3hKN3hPWURXelkzUzNPN1FIV3ZIWWw4c0JCY2dKUFVTRFR1b0xxVDdWQlR0bmVLQi1OT19OZTlsOWFVb2pqeHhBWDc1bW5uNnM0OGh5TEx5Zw?oc=5,"48% तक रिटर्न, लॉन्ग टर्म के लिए 5 Stocks - Zee Business",Zee Business,https://news.google.com/rss/articles/CBMi9wFBVV95cUxNdGxZZlE0YkgyWS1Ga2JjZ3JUUnlpRi1US3l4XzBtbnBCbVVFblEzTVJabzBraUo2M1BOa3pKTE1QejktcUEtTGJEcU5OcnI5N1ROQ2R6VElYbUY0Z19yaWI3RjY1SkR0Y2tZWEQycDJvaV8zaUtIRWJ4UlNxR05FT3BaSmMzUU9tM3YtcjEyYjRpZ1FkYjI0MTRoNmo3LVE5VjBWWWJYdEViOHYtVGZGQnVMdlVOejlwdU9TMEZ6V0UxY0djNld5cDZETGlZSFQtRTZpQjU0dDUzRVpYdFItTDZfbVliUGlOYUhzUnN4WXFwS0hBRUhz?oc=5
"अक्षय कुमार क्लोज फ्रेंड नहीं हैं, परेश रावल बोले- फिल्म इंडस्ट्री में तो सिर्फ... - Hindustan",Hindustan,https://news.google.com/rss/articles/CBMi8wFBVV95cUxPZGVJNGhvT0dCNVpkTGNIb1VrMFphQkY0Q1p2dzVMYlZYRllaZ1BlZmw1SmpVdzN1MjJsZmdDRWk3SGJkX1hSUnBuNG9tdlpCOVozMDc1Y1JnQTNKcHFkNy1DbTRsLU1TWHUzaUdjQTVkcXhsRXNEM0lia1dlRHpkMW5MV0x0SWc0aWxkbV9ZS001VDU3VVpUQVA1b25FVkFQN180WV80czN0V21LYkZLYTM1ZWdEWXVYWFlhTXQ1dklhdzRKRF9jZUswOGkyZ0xMcHV5Und2cVVDdElXR2FWMldkWFhWYTJ0d0Z3TVYxSzlYOW_SAfgBQVVfeXFMTVdJZ3lYdkdxX21QUTB6Y1cwWWpOZDZha2t6bTVadkhoemtfQ3BXZXpsMThtSkdoMXpiNFQ0Z2hKSlVmOUFNUUtJYUxrMHRKR2xOVXRubWlMdkoxeDJYenVrbE9qc0M4bU4zZlhWOVhqcGZld2FOZ3Rvak5PRkxIaXdMLU5TOHJ3WUtORi1lMkRBZHdfRlRodC1nSjRKcXlIZ0w0el9BYWJNbUcyTWJzZHdPby1UMTRBNG85NEFTSDEyRTcwRUFHWnpDZXRReFNqX2RzUXZ6VVVMU21vVW9pT3ZmZ05hX1hGX1c1Xy1fdkxVVG9QUXB3T1I?oc=5,"विरोध की आंधी को रौंदकर बॉक्स ऑफिस किंग बनी ये फिल्म, कमा डाले 800 करोड़, अक्षय कुमार भी नहीं तोड़ पाए रिकॉ - India TV Hindi",India TV Hindi,https://news.google.com/rss/articles/CBMipgJBVV95cUxONDRBZm83SFBsMzNyVmhPVHdlWnFzVTJGbFVuSTlDRXU1MmRzaGFEOUVsajdHLTNPZHhHWVJlYi1sMXJTQzJxYmdCOWxPMW9PNjZ2cmZ5Q1Y1dG5BX2ZkUnBrRnU0ek9lSC1SR2J2dFc3QTQ4b0JBYXBUV095M2JESktEdDhaRm9NbXA1SmFZazBYd2RIeUQ0VU1FMjhYTWp2TlFJY0k0eXpMamZVek52R3ZNMWxjVW1iNm1VYVpPXzdRSU5xd2U1YzhEQ3o0dkphNjI2NDdEZlcybFJfbUVGTEdjaDNwNTJVZ1BITkl6aUhHdUhDUUlYVFU2eGZqQU5QcnhlNWZxazhaSGZNQ0ZoSjBSdzFQbS1ENXhhZzdkOXVzNWFfU1HSAasCQVVfeXFMTUZUNFpGNTlMN25qQW9XNlFpaURqdU1IOXZvV1hjWURsTk14TGVaSHlEUHpBanpteVE4ZGhiLTdvcU1sSEhGV0g4UzlSRjVTRmpqdjFPQ1dlcUxGaW0yZDdMbmgySkJ6YURUSnFkVFNvRnFsRzVKbFVyQTN4UDZSTFluWlZ3NGRTckEtRHFhaHdjTEpXZjY3RVNXcE9BdWRVQXhGOVRxZzE5Y2tHN2hPY1h2X3FmdkplczFMaVpFcWROOGhVUC1xdHJHbFJOMW9HcExWY2hUNm9XaXVDRWNNRTRBUmNCa1RFV2F2bkhoVG0wbXY5N1k4MVNXNGJPamF2cTFSUGdaYjJmSnZsd1JqODJPOVBleU16Q1FjLUROcF9kNkhBWTdiS3BFMDQ?oc=5
"Kesari Chapter 2 Worldwide Collection Day: 100 करोड़ क्लब में एंट्री को बेताब 'केसरी 2', जाट को - Prabhat Khabar",Prabhat Khabar,https://news.google.com/rss/articles/CBMizwFBVV95cUxPOTFnV3pKak9vQlMtRzRaZ1VkTE16MkYzbWg5c21sUFlNTlR0ME5BX0hDRThUQnFNWTNKS1dlX1RIeVpLeW5yaW9TUHFpTjRLMVpvMWZvOGdUX0tpd0gyWFZyTFlNUHZUQy1zaUszRnBiaVVkNHBGUUN2anplUXJ3a2lkUkFQWThsM1pGQ3AxXzlzUWNadXZXMU1ISDNMa28yRWJsOWF6Wk1TN0NJWlR1aUViOU5DRmN4MUltUUZsa1NmbjVrSldNRmN1bXlBeFXSAdQBQVVfeXFMTWs0dmVPYW0yRl84a1ctOFRHenZIOVF3anhUZFdZTnBZTXFLSUtyZEN6TFJrZ0ZBYlAwM281TFFEcC1zeVNYbUdDbFJLeElGaHhmNmZEZ05UV3JYUjFIeUpLVUxDMTBZNUlQVTZQYWJWZkswZ2RLaGxQS280LXZ5NkpRU1dtSTBpZFdBZEZ3bTdVWC1yV2l2SFh1YXh0OEJwbGw2VGRxczVYeTNaR3BLUjRwcDhOOEZqc2hHR1lWVnNvSmsxb3Rsa01Gb0c1WUNnaHFyUEk?oc=5,"Jaat Worldwide Collection Day 18: 'केसरी 2' को मात देकर घातक बने सनी देओल, 100 करोड़ के पार पहुंचा कलेक्शन - Jagran",Jagran,https://news.google.com/rss/articles/CBMi4gFBVV95cUxOLVVDZ1RzWGFEWDhBVllUS29KaXFtTHJMajJSR09EMjVKX29IOXVVdXhlb3FfNDNvM1VuU2FKUWhncWh3a1FmdzdSM0JJWWp2b2tSNVg4aFN2d1pQR0R0THlOcnFSMzE2VXA0Vk5yVXNfV2FMQ0s3VnpjdDMzR0U4NDRXX3pCX3FpMGdNckdST2tjUFJrLWRQMDJ6ZmF2MzNhT0U0dkwwd2xibk9iLTNZQjhIdC14TlM2bjl4WnUyNC1DdUVXcENHUHVnUjF6alJ5UnRDRGtnUWRVZzFKZVFNT1VR?oc=5
"DC Vs RCB: 'लोग भूल रहे हैं..', Virat Kohli ने आरसीबी की जीत के बाद अपने बयान से मचाई सनसनी - Jagran",Jagran,https://news.google.com/rss/articles/CBMi6wFBVV95cUxPRWJZYlJsb2s0R0tTMy1HaHJHaWJFOUEwSDUzUElxTjBfekJfdnU0ZUstRU9yd29xNWlNRXA3cmF1ZDFXUGxUWlhRZkRLZlYwbUVkc2Q4eG1XZV9zbE9TajF3cTlodVpNZ0xGb2pzTjB3cTFpRWRSZ0RNbVN1Ul9wM2NxclN4Y2tPNUgxeEtRUElLMFlxQ0JTbzVQdHViSGJHeVFkVTN3V1A1Mm9FeURWRVlUSERIWGhfZUs3UlJLQjB6VnRqWGFoUnNhMzNTal9HT3NNNzJzcVpjdzZpeGNCU0RKd19Fc1ItZ01N?oc=5,RCB vs DC मैच के दौरान विराट कोहली और केएल राहुल के बीच क्यों हुई बहस? VIDEO - Hindustan,Hindustan,https://news.google.com/rss/articles/CBMi1wFBVV95cUxNQ21HWWFuMTktbElKdl9nYTdnOFNDTjZ2akJjeG1FMzVIMzRMaHdab1pqSVlpbWpNMWxYclBobWMtNDcwTjZmTXIwTWlybC03SkNYU3kxaERtbGptTWV6QURfZnM4V05wR19HcDVSSk9SX1hQX2dHdGNqTldyOHktQm1pTndpTzlrWGhjNU1McWRMVkdaWDZmemFOWHV4dldsZTBYczk2eS1mdkQ3MHltd0x0ZXo3UENEeEMwakxNQTBnTDBtU3A0UEtQQjk1eVVQX2UzT3Vsdw?oc=5
